package,old,new,delta
tidymodels,0.0.3,0.0.4,*
bayesplot,NA,1.7.1,*
BH,NA,1.72.0-3,*
callr,NA,3.4.2,*
checkmate,NA,2.0.0,*
digest,NA,0.6.24,*
DT,NA,0.12,*
foreach,NA,1.4.8,*
future,NA,1.16.0,*
ggridges,NA,0.5.2,*
hardhat,NA,0.1.1,*
ISOcodes,NA,2019.12.22,*
knitr,NA,1.28,*
loo,NA,2.2.0,*
prettyunits,NA,1.1.1,*
pROC,NA,1.16.1,*
processx,NA,3.4.2,*
ps,NA,1.3.2,*
RcppEigen,NA,0.3.3.7.0,*
recipes,NA,0.1.9,*
rsconnect,NA,0.8.16,*
rstan,NA,2.19.3,*
rstanarm,NA,2.19.3,*
shinyjs,NA,1.1,*
SQUAREM,NA,2020.1,*
StanHeaders,NA,2.21.0-1,*
stringi,NA,1.4.5,*
threejs,NA,0.3.3,*
tidypredict,NA,0.4.5,*
tidyr,NA,1.0.2,*
tidyselect,NA,1.0.0,*
vctrs,NA,0.2.2,*
xfun,NA,0.12,*
yardstick,NA,0.0.5,*
